id,desc,lat,lng,modes,extra,equiv
OWRD:10352500,MCDERMITT CR NR MCDERMITT NV,41.96655774,-117.83264382,,,USGS:10352500,,126.3469;R894110ae7104dc41,McDermitt Creek O5 L6 Drainage:576km2 AvgFlow:35cfs AvgPrecip:245mm AvgTemp:9C
OWRD:10366000,TWENTYMILE CR NR ADEL OR,42.072466,-119.963672,,,,,371.6809;R6abc741259f3bc41,Twentymile Creek O4 L4 Drainage:470km2 AvgFlow:52cfs AvgPrecip:356mm AvgTemp:8C
OWRD:10371500,DEEP CR AB ADEL OR,42.188502,-120.000994,,,,,359.6749;R04569eb560c7e641,Deep Creek O5 L4 Drainage:469km2 AvgFlow:102cfs AvgPrecip:423mm AvgTemp:7C
OWRD:10378500,HONEY CR NR PLUSH OR,42.424893,-119.922309,,,,,986.3729;R5839d42583c6cb41,Honey Creek O4 L5 Drainage:430km2 AvgFlow:57cfs AvgPrecip:285mm AvgTemp:8C
OWRD:10379000,HART LAKE NR PLUSH OR,42.42778015,-119.82333374,,,,,514.175;R295ccf247f09c441, 
OWRD:10384000,CHEWAUCAN R NR PAISLEY OR,42.684954,-120.569952,,,,,23.1768;Re3a5a398c9a4db41,Chewaucan River O5 L4 Drainage:693km2 AvgFlow:164cfs AvgPrecip:338mm AvgTemp:8C
OWRD:10387500,SUMMER LAKE CN NR SUMMER LAKE OR,42.982278,-120.763142,,,,,,
OWRD:10388000,ANA R NR SUMMER LAKE OR,42.99491,-120.74677,,,,,401.6519;R6de7a70117a6e841,Ana River O1 L4 Drainage:4km2 AvgFlow:0cfs AvgPrecip:334mm AvgTemp:7C
OWRD:10388800,THOMPSON VALLEY RES NR SILVER LAKE OR,42.96444702,-121.08972168,,,,,860.2513;Rc74b3f339ebee141,Silver Creek O4 L4 Drainage:289km2 AvgFlow:68cfs AvgPrecip:458mm AvgTemp:6C
OWRD:10389500,SILVER LAKE I D CN NR SILVER LAKE OR,43.091692,-121.078919,,,,,633.1134;R295cd7e74171e941,Silver Creek O4 L4 Drainage:343km2 AvgFlow:72cfs AvgPrecip:312mm AvgTemp:7C
OWRD:10390000,SILVER CR NR SILVER LAKE OR,43.113556,-121.067683,,,,,832.4048;R2fdd2c1bcb51ee41,Silver Creek O4 L4 Drainage:463km2 AvgFlow:94cfs AvgPrecip:338mm AvgTemp:7C
OWRD:10391050,BUCK CR AB PAULINA MARSH NR SILVER LAKE OR,43.142203,-121.134564,,,,,652.9506;Rf0a7722abe29e041,Buck Creek 
OWRD:10392400,SILVIES R BL SODA SPRING NR SENECA,44.088295,-118.971522,,,,,0.4247;R9cc48863a922d741,Silvies River O5 L4 Drainage:765km2 AvgFlow:85cfs AvgPrecip:387mm AvgTemp:5C
