id,desc,lat,lng,modes,extra,equiv
CNDWO:01AD002,SAINT JOHN RIVER AT FORT KENT,47.25806,-68.59583,,,,,282.9942;R6666760cee96d141,Saint John River O6 L4 Drainage:12443km2 AvgFlow:8406cfs AvgPrecip:964mm AvgTemp:3C
CNDWO:01AD003,ST. FRANCIS RIVER AT OUTLET OF GLASIER LAKE,47.20661,-68.95694,,,,,804.9139;Re3a56b281ae9d141,Saint Francis River O3 L5 Drainage:1355km2 AvgFlow:873cfs AvgPrecip:929mm AvgTemp:3C
CNDWO:01AD004,SAINT JOHN RIVER AT EDMUNDSTON,47.36078,-68.32489,,,,,935.967;Rfa7eaadff055a141,Saint John River O6 L4 Drainage:15526km2 AvgFlow:10640cfs AvgPrecip:955mm AvgTemp:3C
CNDWO:01AD015,MADAWASKA (RIVIÈRE) À 6 KM EN AVAL DU BARRAGE TÉMISCOUATA,47.53850,-68.59180,,,,,959.9125;R508d77e1140fe141, O0
CNDWO:01AE001,FISH RIVER NEAR FORT KENT,47.2375,-68.58278,,,,,455.7086;R0e2df6e3cdb4e041,Fish River O5 L5 Drainage:2314km2 AvgFlow:1551cfs AvgPrecip:936mm AvgTemp:3C
CNDWO:01AF002,SAINT JOHN RIVER AT GRAND FALLS,47.03889,-67.73972,,,,,183.3565;Ra470bd96fb2f9641, O1
CNDWO:01AF007,GRANDE RIVIERE AT VIOLETTE BRIDGE,47.24697,-67.92128,,,,,22.1419;R128380990ad4bb41, O1
CNDWO:01AF009,IROQUOIS RIVER AT MOULIN MORNEAULT,47.45783,-68.35683,,,,,394.9595;R39b4c81485b1ea41, O3
CNDWO:01AG003,AROOSTOOK RIVER NEAR TINKER,46.81636,-67.75197,,,,,507.2112;R333343d93ba3cf41, O1
CNDWO:01AH002,TOBIQUE RIVER AT RILEY BROOK,47.17303,-67.21081,,,,,721.2465;R06819519c8c2ab41, O3
CNDWO:01AJ003,MEDUXNEKEAG RIVER NEAR BELLEVILLE,46.21622,-67.72794,,,,,746.8401;R426081b190cdeb41, O0
CNDWO:01AJ004,BIG PRESQUE ISLE STREAM AT TRACEY MILLS,46.43836,-67.73844,,,,,454.8544;Rb072b4868764ea41,Hartley Brook O1
