id,desc,lat,lng,modes,extra,equiv
CDWR:ABBDITCO,ABBETT DITCH,40.2037,-104.8541,DISCHRG=0;GAGE_HT=1,NWSDR,,,599.4948;Rec5128b4961de641, 
CDWR:ABCLATCO,ABC LATERAL,38.485,-107.7498,DISCHRG1=0;GAGE_HT1=1,DWR,,,57.8721;R7b1486ed6b0adb41,Cedar Creek O2 L7 Drainage:132km2 AvgFlow:3cfs AvgPrecip:304mm AvgTemp:9C
CDWR:ADATUNCO,ALVA B. ADAMS TUNNEL AT EAST PORTAL NEAR ESTES PARK,40.3278,-105.5781,DISCHRG=0;GAGE_HT=1,NWBOR,,,11.1166;Rc520d0bbbbe2c641,Wind River O1 L6 Drainage:14km2 AvgFlow:11cfs AvgPrecip:774mm AvgTemp:2C
CDWR:ADOAARCO,ADOBE CREEK ABOVE ADOBE RESERVOIR,38.1676,-103.1734,DISCHRG=0;GAGE_HT=1,DWR,,,332.9959;R8fc29da4cdc9e741, 
CDWR:ADOBARCO,ADOBE CREEK BELOW ADOBE RESERVOIR,38.1731,-103.3322,DISCHRG=0;GAGE_HT=1,DWR,,,383.7876;R3bdfab3b8161ec41,Adobe Creek O4 L3 Drainage:1488km2 AvgFlow:17cfs AvgPrecip:351mm AvgTemp:12C
CDWR:ADOVALCO,ADOBE VALLEY DITCH,38.1731,-103.3322,DISCHRG=0;GAGE_HT=1,DWR,,,383.7876;R3bdfab3b8161ec41,Adobe Creek O4 L3 Drainage:1488km2 AvgFlow:17cfs AvgPrecip:351mm AvgTemp:12C
CDWR:AGGDITCO,AGRICULTURAL DITCH,39.7575,-105.2182,DISCHRG=0;GAGE_HT=1,DWR,,,660.011;Ra8c663c8da2fee41, O2 L5 Drainage:29km2 AvgFlow:3cfs AvgPrecip:475mm AvgTemp:9C
CDWR:AGGRTNCO,AGRICULTURAL DITCH RETURN TO CLEAR CREEK,39.7673,-105.1876,DISCHRG=0;GAGE_HT=1,DWR,,,562.6478;R4260ed9efe44ed41,Clear Creek O4 L4 Drainage:1078km2 AvgFlow:178cfs AvgPrecip:470mm AvgTemp:9C
CDWR:ALABELCO,ALAMOSA RIVER BELOW TERRACE RESERVOIR,37.3528,-106.2775,DISCHRG=0;GAGE_HT=1,DWR,,,892.5752;Rbe9fc29a8b7ae241,Alamosa River O3 L3 Drainage:288km2 AvgFlow:95cfs AvgPrecip:534mm AvgTemp:3C
CDWR:ALACANCO,ALAMOSA CREEK CANAL,37.3015,-106.1514,GAGE_HT=1;DISCHRG=0,DWR,,,118.1894;R1283c05407a5d841,Alamosa River O3 L3 Drainage:323km2 AvgFlow:95cfs AvgPrecip:255mm AvgTemp:5C
CDWR:ALARANCO,ALAMOSA RIVER BELOW RANGER CREEK NEAR JASPER,37.3889,-106.3773,DISCHRG=0;GAGE_HT=1;WATTEMP=3,DWR,,,760.3961;R19046a301f40ef41,Alamosa River O3 L3 Drainage:246km2 AvgFlow:111cfs AvgPrecip:651mm AvgTemp:2C
CDWR:ALATERCO,ALAMOSA RIVER ABOVE TERRACE RESERVOIR,37.3747,-106.3348,DISCHRG=0;GAGE_HT=1,DWR,,,5.5682;R6f1237b7f3c8e541,Alamosa River O3 L3 Drainage:283km2 AvgFlow:94cfs AvgPrecip:606mm AvgTemp:2C
CDWR:ALAWIGCO,ALAMOSA RIVER ABOVE WIGHTMAN FORK NEAR JASPER,37.4025,-106.522,DISCHRG=0;GAGE_HT=1;WATTEMP=3,DWR,,,920.1666;Rc74b6fa9cd5ed341,Alamosa River O3 L3 Drainage:146km2 AvgFlow:89cfs AvgPrecip:793mm AvgTemp:1C
CDWR:ALSOUTCO,ALSBURY RESERVOIR (OUTFLOW),36.3333,-107.4839,DISCHRG=0;GAGE_HT=1,DWR,,,444.5557;R08acbc3cd519e341, O3 L7 Drainage:76km2 AvgFlow:1cfs AvgPrecip:264mm AvgTemp:9C
CDWR:AMYCANCO,AMITY CANAL,38.0986,-102.7505,DISCHRG=0;GAGE_HT=1,DWR,,,763.8158;R4e623c3f467ce141,Arkansas River O7 L2 Drainage:49937km2 AvgFlow:213cfs AvgPrecip:374mm AvgTemp:12C
CDWR:ANIHOWCO,ANIMAS RIVER AT HOWARDSVILLE CO,37.8331,-107.5995,DISCHRG=0;GAGE_HT=1,DWR,,,406.3218;R77beef3db8bcc041,Animas River O3 L6 Drainage:111km2 AvgFlow:89cfs AvgPrecip:940mm AvgTemp:1C
