id,desc,lat,lng,modes,extra,equiv
WECY:01C070,Hutchinson Cr. nr Acme,48.7236,-122.1544,DSG=0;STG=1;WTM=3,,,,5.0899;Ra470955d1cb1d341,Hutchinson Creek O2 L3 Drainage:46km2 AvgFlow:79cfs AvgPrecip:1869mm AvgTemp:9C
WECY:01F070,S.F. Nooksack R. @ Potter Rd.,48.7892,-122.1975,DSG=0;STG=1,,,,931.0894;R986e4eb89093ef41, 
WECY:01N060,Bertrand Cr. nr mouth,48.9242,-122.5286,DSG=0;STG=1;WTM=3,,,,690.7061;R9318fc8bda4de241,Bertrand Creek O2 L2 Drainage:94km2 AvgFlow:91cfs AvgPrecip:1138mm AvgTemp:10C
WECY:01N100,Bertrand Cr. @ 0 St. (Canadian Border),49.0022,-122.3528,WTM=3,,,,687.4576;R96436b473878e841, O0
WECY:01Q070,Dakota Cr. @ Giles Rd.,48.9628,-122.6806,DSG=0;STG=1;WTM=3,,,,38.0336;Rbc74c3c8036ed641,Dakota Creek O2 L1 Drainage:59km2 AvgFlow:44cfs AvgPrecip:1102mm AvgTemp:10C
WECY:03C060,Friday Cr. blw Hatchery,48.5583,-122.3283,DSG=0;STG=1;WTM=3,,,,10.1181;Rc74b1b2e1dabe241,Friday Creek O3 L2 Drainage:96km2 AvgFlow:100cfs AvgPrecip:1184mm AvgTemp:10C
WECY:03C100,Friday Creek @ Nulle Road,48.6447,-122.3698,STG=1;WTM=3;DSG=0,,,,183.7742;R1f856b907b3cc541,Friday Creek O3 L2 Drainage:50km2 AvgFlow:56cfs AvgPrecip:1461mm AvgTemp:10C
WECY:03G100,E.F. Nookachamps Cr. @ Beaver Lake Rd.,48.4239,-122.2089,DSG=0;STG=1;WTM=3,,,,722.4861;R27317cf22792e941,Cold Spring Creek O1 L4 Drainage:3km2 AvgFlow:3cfs AvgPrecip:1767mm AvgTemp:9C
WECY:03J100,Hansen Cr. nr Sedro Woolley,48.5,-122.2,DSG=0;STG=1;WTM=3,,,,282.3938;R8d97260b8daadb41,Hansen Creek O2 L2 Drainage:33km2 AvgFlow:35cfs AvgPrecip:1315mm AvgTemp:10C
WECY:05A070,Stillaguamish R. nr Silvana,48.1972,-122.2089,DSG=0;STG=1,,,,771.237;R3333a35bc74fd641,Stillaguamish River O5 L1 Drainage:1452km2 AvgFlow:3981cfs AvgPrecip:1175mm AvgTemp:11C
WECY:05A105,S.F. Stillaguamish R. @ Jordan Rd. Bridge,48.0953,-121.9747,DSG=0;STG=1,,,,627.6055;R04567280aa46e341,South Fork Stillaguamish River O4 L2 Drainage:476km2 AvgFlow:1536cfs AvgPrecip:1362mm AvgTemp:11C
WECY:05B090,N.F. Stillaguamish R. @ Oso,48.2725,-121.8881,DSG=0;STG=1;WTM=3,,,,625.7786;Rd7a314295a2ae841,North Fork Stillaguamish River O3 L1 Drainage:402km2 AvgFlow:1223cfs AvgPrecip:1703mm AvgTemp:10C
WECY:05D070,Pilchuck Cr. @ Bridge 626,48.2136,-122.2175,DSG=0;STG=1;WTM=3,,,,102.4222;R2b877a0e6de9ec41,Pilchuck Creek O4 L2 Drainage:189km2 AvgFlow:270cfs AvgPrecip:1173mm AvgTemp:11C
WECY:05H070,Squire Cr. @ Squire Creek Park,48.2703,-121.6714,DSG=0;STG=1;WTM=3,,,,389.2128;Rb6f39553e38cd441,Squire Creek O2 L2 Drainage:68km2 AvgFlow:204cfs AvgPrecip:1890mm AvgTemp:10C
WECY:08B100,Sammamish River at NE 124th St,47.710998, -122.142470,WTM=3,,,,27.0175;R1283c0be85f1c941,Sammamish River O4 L1 Drainage:419km2 AvgFlow:318cfs AvgPrecip:1050mm AvgTemp:11C
WECY:08B120,Sammamish River at Marymoor,47.662376, -122.124317,WTM=3,,,,573.3064;Ra470c18dfa65e941,Sammamish River O4 L1 Drainage:392km2 AvgFlow:308cfs AvgPrecip:1045mm AvgTemp:11C
WECY:08C110,Cedar R. nr Landsburg,47.3914,-121.9206,WTM=3,,,,21.5792;Ra8c67f493d31e241,Cedar River O4 L2 Drainage:310km2 AvgFlow:498cfs AvgPrecip:1760mm AvgTemp:9C
WECY:17B050,Chimacum Cr. @ mouth,48.05,-122.7842,DSG=0;STG=1;WTM=3,,,,56.7516;R91edecf9e4b9d241,Chimacum Creek O2 L1 Drainage:96km2 AvgFlow:24cfs AvgPrecip:591mm AvgTemp:10C
WECY:17D060,Little Quilcene R. nr mouth,47.83,-122.8744,DSG=0;STG=1;WTM=3,,,,13.6366;R1d5aec3fe378d141,Little Quilcene River O3 L1 Drainage:93km2 AvgFlow:101cfs AvgPrecip:976mm AvgTemp:11C
WECY:17E060,Snow Cr. @ WDFW,47.9847,-122.8853,DSG=0;STG=1;WTM=3,,,,89.8642;R2506b1ac2d2bd041,Snow Creek O3 L1 Drainage:63km2 AvgFlow:54cfs AvgPrecip:811mm AvgTemp:10C
WECY:17F050,Salmon Cr. @ WDFW,47.985,-122.89,DSG=0;STG=1;WTM=3,,,,1.1369;R77be8f4d32d2c341,Salmon Creek O3 L1 Drainage:46km2 AvgFlow:31cfs AvgPrecip:758mm AvgTemp:10C
WECY:17G060,Tarboo Cr. nr mouth,47.8689,-122.8158,DSG=0;STG=1;WTM=3,,,,163.1463;Re5d05ecbaed3e241,Tarboo Creek O2 L1 Drainage:20km2 AvgFlow:7cfs AvgPrecip:872mm AvgTemp:10C
WECY:18A050,Dungeness R. nr mouth,48.1433,-123.1272,DSG=0;STG=1;WTM=3,,,,806.312;R7d3f49c5f34ce541,Dungeness River O4 L1 Drainage:510km2 AvgFlow:442cfs AvgPrecip:434mm AvgTemp:10C
WECY:18B070,Elwha River Nr Port Angeles,48.0654,-123.5777,STG=1,,,,725.6098;R0e2d0aa52e79e241,Elwha River O4 L1 Drainage:696km2 AvgFlow:1545cfs AvgPrecip:1089mm AvgTemp:10C
WECY:18C150,Morse Cr. blw Aqueduct,48.0381,-123.3492,DSG=0;STG=1;WTM=3,,,,884.6695;Rf8539b7d7296da41,Morse Creek O3 L1 Drainage:132km2 AvgFlow:215cfs AvgPrecip:1003mm AvgTemp:9C
WECY:18F250,Agnew Irrigation Ditch nr Sequim,48.0256,-123.1381,DSG=0;STG=1;WTM=3,,,,527.4912;R6f1223feda90d441,Dungeness River O4 L1 Drainage:408km2 AvgFlow:396cfs AvgPrecip:820mm AvgTemp:10C
WECY:18H250,Sequim/Prairie Irrigation Ditch nr Sequim,48.0731,-123.145,DSG=0;STG=1;WTM=3,,,,580.901;R68913d09055dcd41,Dungeness River O4 L1 Drainage:458km2 AvgFlow:436cfs AvgPrecip:503mm AvgTemp:10C
WECY:18J250,Highland Irrigation Ditch nr Sequim,48.03,-123.1364,DSG=0;STG=1;WTM=3,,,,956.3926;R6f1223feda90d441,Dungeness River O4 L1 Drainage:408km2 AvgFlow:396cfs AvgPrecip:820mm AvgTemp:10C
WECY:18K250,Independent Irrigation Ditch nr Sequim,48.0572,-123.145,DSG=0;STG=1;WTM=3,,,,754.3624;R0000a0ca1188cb41,Bear Creek O1 L2 Drainage:8km2 AvgFlow:2cfs AvgPrecip:663mm AvgTemp:10C
WECY:18P070,McDonald Cr. @ Hwy 101,48.0892,-123.235,DSG=0;STG=1;WTM=3,,,,140.1255;R448b8c65587bbc41,McDonald Creek O2 L1 Drainage:58km2 AvgFlow:38cfs AvgPrecip:562mm AvgTemp:10C
WECY:18R250,McDonald Irrigation Ditch @ Diversion,48.0892,-123.235,DSG=0;STG=1,,,,140.1255;R448b8c65587bbc41,McDonald Creek O2 L1 Drainage:58km2 AvgFlow:38cfs AvgPrecip:562mm AvgTemp:10C
WECY:19C060,West Twin R. nr mouth,48.1631,-123.9528,DSG=0;STG=1;WTM=3,,,,225.14;R508d5706a61eac41,West Twin River O2 L1 Drainage:31km2 AvgFlow:58cfs AvgPrecip:1636mm AvgTemp:9C
WECY:19D070,East Twin R. nr Twin,48.1506,-123.9369,DSG=0;STG=1;WTM=3,,,,902.7448;R666666ce297ee341,East Twin River O2 L1 Drainage:22km2 AvgFlow:49cfs AvgPrecip:1817mm AvgTemp:9C
WECY:19E060,Deep Cr. nr mouth,48.1725,-124.0267,DSG=0;STG=1;WTM=3,,,,32.6162;Rc1caad09e6b5e541,Deep Creek O2 L1 Drainage:45km2 AvgFlow:88cfs AvgPrecip:1958mm AvgTemp:9C
WECY:19H080,Clallam R. nr Clallam Bay,48.2442,-124.2544,DSG=0;STG=1;WTM=3,,,,971.6655;R8fc2153270babd41,Clallam River O2 L1 Drainage:37km2 AvgFlow:82cfs AvgPrecip:2192mm AvgTemp:9C
WECY:19J060,Sekiu R. abv Carpenter Creek,48.2814,-124.4286,DSG=0;STG=1;WTM=3,,,,97.0894;R85eba16fc68ed641,Sekiu River O3 L1 Drainage:72km2 AvgFlow:205cfs AvgPrecip:2446mm AvgTemp:9C
WECY:20A070,Sol Duc R. nr Quillayute,47.9519,-124.4675,DSG=0;STG=1;WTM=3,,,,2.724;Rfa7e5ef8bc0ce541,Sol Duc River O4 L2 Drainage:584km2 AvgFlow:1742cfs AvgPrecip:2698mm AvgTemp:10C
WECY:23A120,Chehalis River @ Centralia,46.7,-123,WTM=3,,,,450.3162;R7f6afc46b827b141,Scammon Creek O2 L2 Drainage:10km2 AvgFlow:8cfs AvgPrecip:1245mm AvgTemp:11C
WECY:23A190,Chehalis abv Pe Ell,46.5,-123.3,WTM=3,,,,985.4391;R0ad7733138cbc741,Chehalis River O4 L1 Drainage:129km2 AvgFlow:270cfs AvgPrecip:1808mm AvgTemp:10C
WECY:23B070,Newaukum NR Chehalis,46.6,-122.9,WTM=3,,,,13.6204;Rd9ce43f39506e841,Newaukum River O4 L2 Drainage:375km2 AvgFlow:441cfs AvgPrecip:1197mm AvgTemp:11C
WECY:23E060,Black R. @ Hwy 12,46.8306,-123.1847,STG=1;WTM=3;DSG=0,,,,7.6366;Rd34d02e2a4ead641,Black River O3 L2 Drainage:365km2 AvgFlow:381cfs AvgPrecip:1434mm AvgTemp:11C
WECY:23H060,Salzer Creek @ Airport Rd,46.7,-123,STG=1;WTM=3;DSG=0,,,,450.3162;R7f6afc46b827b141,Scammon Creek O2 L2 Drainage:10km2 AvgFlow:8cfs AvgPrecip:1245mm AvgTemp:11C
WECY:23I070,Bunker Creek @ Ceres Hill Rd,46.6,-123.1,STG=1;WTM=3;DSG=0,,,,,
WECY:23J070,Stearns Creek @ Twin Oaks Rd,46.6,-123,STG=1;WTM=3;DSG=0,,,,970.5232;R045612b8ec3be341,Stearns Creek O2 L2 Drainage:49km2 AvgFlow:41cfs AvgPrecip:1277mm AvgTemp:11C
WECY:23K060,South Fork Chehalis @ Hwy 6,46.6,-123.1,STG=1;WTM=3;DSG=0,,,,,
WECY:23L070,Dillenbaugh Creek at Riverside Dr,46.7,-123,STG=1;WTM=3;DSG=0,,,,450.3162;R7f6afc46b827b141,Scammon Creek O2 L2 Drainage:10km2 AvgFlow:8cfs AvgPrecip:1245mm AvgTemp:11C
WECY:24N070,Chinook River at Chinook Valley Rd,46.2833,-123.9375,STG=1;WTM=3,,,,962.2144;Rbe9f96db1a0de441,Chinook River O2 L2 Drainage:16km2 AvgFlow:30cfs AvgPrecip:1983mm AvgTemp:11C
WECY:24N100,Chinook River near Houchen St,46.2889,-123.9233,DSG=0;STG=1;WTM=3,,,,738.2058;R7b146e79e8dac841, O1 L3 Drainage:2km2 AvgFlow:4cfs AvgPrecip:2269mm AvgTemp:10C
WECY:25B060,Grays R. nr mouth,46.3542,-123.5814,STG=1;WTM=3,,,,73.9654;R190406cce89bd941,Grays River O4 L2 Drainage:246km2 AvgFlow:681cfs AvgPrecip:2720mm AvgTemp:10C
WECY:25C060,Elochoman River @ Monroe Dr,46.2256,-123.3589,DSG=0;STG=1;WTM=3,,,,0;R83c01a3cbb02da41,Elochoman River O3 L3 Drainage:177km2 AvgFlow:350cfs AvgPrecip:2032mm AvgTemp:10C
WECY:25D050,Germany Cr. @ mouth,46.1914,-123.125,DSG=0;STG=1;WTM=3,,,,214.9925;Rb81ecda12343e541,Germany Creek O2 L2 Drainage:59km2 AvgFlow:102cfs AvgPrecip:1386mm AvgTemp:11C
WECY:25E060,Abernathy Cr. nr mouth,46.1953,-123.1656,DSG=0;STG=1;WTM=3,,,,825.5835;R8b6cf3678867e041,Columbia River O9 L1 Drainage:619686km2 AvgFlow:250482cfs AvgPrecip:1439mm AvgTemp:11C
