WF\NOOAMAP.csv
BRGP:ANAD,WASHITA RIVER NEAR ANADARKO 1NE,35.0842,-98.2431,HADSLIST;HADSMAP;NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=ANDO2,USGS:07326500;BRGP:ANAD,,44.2466;R8fc255ecc0f0b241,Washita River O6 L2 Drainage:9455km2 AvgFlow:564cfs AvgPrecip:823mm AvgTemp:16C
BRGP:ARKAVOCO,ARKANSAS RIVER AT AVONDALE,38.2481,-104.399,HADSLIST;HADSMAP;NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=ADLC2,USGS:07109500;BRGP:ARKAVOCO,,537.5961;R21b072bf26408041,Arkansas River O6 L2 Drainage:16326km2 AvgFlow:927cfs AvgPrecip:299mm AvgTemp:11C
BRGP:ARKCANCO,ARKANSAS RIVER AT CANYON CITY (ARKCANCO),38.4336,-105.257,HADSMAP;HADSLIST;NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=CNCC2,BRGP:ARKCANCO;CDWR:ARKCANCO;USGS:07096000,,196.8228;R0e2d22e17d0aeb41,Arkansas River O5 L2 Drainage:6569km2 AvgFlow:756cfs AvgPrecip:345mm AvgTemp:11C
BRGP:ARKNEPCO,ARKANSAS RIVER NEAR NEPESTA NEAR FOWLER 9WNW (ARKNEPCO),38.1839,-105.827,HADSMAP;NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=NPTC2,BRGP:ARKNEPCO;CDWR:ARKNEPCO,,700.9916;Rc1ca21563672b741,Arkansas River O7 L2 Drainage:23747km2 AvgFlow:691cfs AvgPrecip:274mm AvgTemp:12C
BRGP:ARKPORCO,ARKANSAS RIVER AT PORTLAND (ARKPORCO),38.3881,-105.016,HADSMAP;HADSLIST;NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=PRTC2,BRGP:ARKPORCO;CDWR:ARKPORCO;USGS:07097000,,601.6317;R560e2d660cc2b941,Arkansas River O6 L2 Drainage:10278km2 AvgFlow:812cfs AvgPrecip:333mm AvgTemp:11C
BRGP:ARKPUECO,ARKANSAS RIVER BELOW PUEBLO RESERVOIR NEAR PUEBLO 7W (ARKPUECO),38.2717,-104.718,HADSMAP;HADSLIST;NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=PDAC2,BRGP:ARKPUECO;CDWR:ARKPUECO;USGS:07099400,,778.3015;Rbc7433f0c1bcd841,Arkansas River O6 L2 Drainage:11948km2 AvgFlow:726cfs AvgPrecip:331mm AvgTemp:11C
BRGP:ARKSALCO,ARKANSAS RIVER AT SALIDA (ARKSALCO),38.5458,-106.01,HADSMAP;NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=SALC2,BRGP:ARKSALCO;CDWR:ARKSALCO,,854.4131;R6abc68a0ae2ce041,Arkansas River O4 L2 Drainage:3063km2 AvgFlow:588cfs AvgPrecip:230mm AvgTemp:7C
BRGP:ARKWELCO,ARKANSAS RIVER NEAR WELLESVILLE NEAR SALIDA 4SE (ARKWELCO),38.5025,-105.939,HADSMAP;NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=WSVC2,BRGP:ARKWELCO;CDWR:ARKWELCO,,864.3998;R14aec7a0d9dab941,Arkansas River O5 L2 Drainage:3745km2 AvgFlow:745cfs AvgPrecip:246mm AvgTemp:7C
BRGP:ARWT,ATASCOSA RIVER NEAR WHITSETT 2SW,28.6219,-98.2811,HADSLIST;HADSMAP;NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=WTTT2,USGS:08208000;BRGP:ARWT,,627.4831;Ra01a17155377e041,Atascosa River O5 L3 Drainage:2954km2 AvgFlow:150cfs AvgPrecip:683mm AvgTemp:22C
BRGP:BBTM,BOULDER RIVER NEAR BIG TIMBER 1E,45.8339,-109.939,HADSLIST;HADSMAP;NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=BTMM8,USGS:06200000;BRGP:BBTM;DF:418,,24.8068;R3f35de39b97b9041,Boulder River O5 L4 Drainage:1365km2 AvgFlow:564cfs AvgPrecip:412mm AvgTemp:8C
BRGP:BBWY,BIGHORN RIVER AT BASIN,44.3833,-108.036,HADSLIST;HADSMAP;NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=BHBW4,USGS:06274300;BRGP:BBWY,,41.9578;R3d0affdbfbbbe241,Bighorn River O7 L4 Drainage:34250km2 AvgFlow:2093cfs AvgPrecip:182mm AvgTemp:8C
BRGP:BCHM,BEAVER CREEK NEAR HINSDALE 4NW,48.4194,-107.171,HADSLIST;HADSMAP;NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=BCHM8,USGS:06167500;BRGP:BCHM,,915.579;R9318982778fbec41,Beaver Creek O5 L4 Drainage:4394km2 AvgFlow:75cfs AvgPrecip:332mm AvgTemp:6C
