WF\NOOAMAP-.csv
NOOA:ABIK1,Smoky Hill River AT Abilene,38.9064,-97.2842,NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=ABIK1,,,236.3529;Rae47d9c79522d441,Smoky Hill River O7 L3 Drainage:48291km2 AvgFlow:1322cfs AvgPrecip:829mm AvgTemp:13C
NOOA:ACHA3,Agua Caliente Wash AT Houghton Rd,32.2481,-110.7722,NOOACO,http://www.cbrfc.noaa.gov/station/flowplot/flowplot.cgi?acha3,,,26.1282;Rfca9e952b472d441,Agua Caliente Wash O2 L7 Drainage:106km2 AvgFlow:3cfs AvgPrecip:358mm AvgTemp:20C
NOOA:ACJU1,Ashley Ck AT Jensen Nr Union Canal Blo,40.3581,-109.3869,NOOACO,http://www.cbrfc.noaa.gov/station/flowplot/flowplot.cgi?acju1,,,994.2095;R9eefbf634d68d541,Ashley Creek O5 L6 Drainage:990km2 AvgFlow:47cfs AvgPrecip:213mm AvgTemp:9C
NOOA:ACYN4,New Jersey Atlantic Coast AT Atlantic City (ocean front),39.35,-74.4167,NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=ACYN4,,,,
NOOA:ADBA3,Adobe Dam AT,33.6772,-112.1539,NOOACO,http://www.cbrfc.noaa.gov/station/flowplot/flowplot.cgi?adba3,,,388.012;R4e6210d1003c8741,Skunk Creek O3 L8 Drainage:235km2 AvgFlow:2cfs AvgPrecip:250mm AvgTemp:22C
NOOA:AFRI1,Eastern Idaho Reservoirs AT American Falls,42.7792,-112.8792,HADSMAP;NOOANW;NOOA,http://www.nwrfc.noaa.gov/river/station/flowplot/flowplot.cgi?AFRI1,,,534.919;Rc9769e7ead03c141, 
NOOA:AGAK1,WALNUT RIVER NEAR AUGUSTA #2,37.6706,-96.98,HADSMAP;NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=AGAK1,,,721.451;R0000b8897e07ed41,Walnut River O5 L3 Drainage:1171km2 AvgFlow:203cfs AvgPrecip:928mm AvgTemp:14C
NOOA:AJUA3,Stewart Mountain Dam AT,33.5575,-111.5358,NOOACO,http://www.cbrfc.noaa.gov/station/flowplot/flowplot.cgi?ajua3,,,402.8843;R3bdf2f813786b341, O1 L7 Drainage:5km2 AvgFlow:0cfs AvgPrecip:377mm AvgTemp:21C
NOOA:ALBW3,Sugar River AT Albany,42.7058,-89.4378,NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=ALBW3,,,706.6749;R7593e04ca2ede241,Sugar River O6 L4 Drainage:1200km2 AvgFlow:373cfs AvgPrecip:897mm AvgTemp:8C
NOOA:ALEK1,Mud Creek (KS) AT Abilene,38.9297,-97.2278,NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=ALEK1,,,418.2206;R4c376d449e84ea41,Mud Creek O4 L4 Drainage:241km2 AvgFlow:19cfs AvgPrecip:839mm AvgTemp:13C
NOOA:ALLA2,Koyukuk River AT Allakaket,66.5653,-152.6425,NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=ALLA2,,,,
NOOA:ALMA3,Alamo Reservoir AT,34.2183,-113.6178,HADSMAP;NOOACO,http://www.cbrfc.noaa.gov/station/flowplot/flowplot.cgi?alma3,,,999.3324;Re92649e3f894d841,Bill Williams River O6 L5 Drainage:11489km2 AvgFlow:143cfs AvgPrecip:228mm AvgTemp:21C
NOOA:ALMM4,Pine River AT Alma,43.3794,-84.6556,NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=ALMM4,,,640.7753;R46b6a717257ce841,Pine River O4 L4 Drainage:796km2 AvgFlow:259cfs AvgPrecip:825mm AvgTemp:8C
NOOA:ALMW3,Mississippi River AT Alma,44.3264,-91.9192,HADSMAP;NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=ALMW3,,,302.2207;R5c8ff2d212c4e641,Mississippi River O8 L1 Drainage:147090km2 AvgFlow:31863cfs AvgPrecip:859mm AvgTemp:8C
NOOA:ALRW1,,46.8025,-122.3103,NOOANW,http://www.nwrfc.noaa.gov/river/station/flowplot/flowplot.cgi?ALRW1,,,926.9779;R23db39f26e35dc41, O3 L2 Drainage:72km2 AvgFlow:132cfs AvgPrecip:1251mm AvgTemp:9C
NOOA:ALVM5,SNAKE RIVER BELOW ALVARADO 1N,48.195,-97.0056,HADSMAP;NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=ALVM5,,,4.5291;R2b873640d762b841,Snake River O4 L5 Drainage:633km2 AvgFlow:23cfs AvgPrecip:514mm AvgTemp:4C
NOOA:AMRL1,Tide Station AT Amerada Pass,29.4494,-91.3381,NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=AMRL1,
NOOA:ANTA2,Anchorage AT Anchorage,61.2339,-149.8839,NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=ANTA2,
NOOA:ANVC1,Tide Station (Mendocino Co) AT at Arena Cove,38.9133,-123.708,NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=ANVC1,,,14.153;R7b146e1aca9eca41,Point Arena Creek O1 L1 Drainage:6km2 AvgFlow:5cfs AvgPrecip:1134mm AvgTemp:12C
NOOA:APAM2,Severn River AT Annapolis,38.9831,-76.48,NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=APAM2,,,965.3472;Rcba1913e6401e841,Severn River O3 L1 Drainage:162km2 AvgFlow:69cfs AvgPrecip:1135mm AvgTemp:14C
NOOA:APBA2,Anchor River AT Anchor Point,59.7722,-151.8364,NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=APBA2,,,,
NOOA:APCF1,Gulf of Mexico Tide Gauge AT Apalachicola,29.7267,-84.9817,NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=APCF1,,,662.5918;Rc52070196cb6cc41,Scipio Creek O2 L2 Drainage:8km2 AvgFlow:4cfs AvgPrecip:1477mm AvgTemp:20C
NOOA:ARLW1,Stillaguamish River AT Arlington,48.2036,-122.1281,NOOA;NOOANW,http://www.nwrfc.noaa.gov/river/station/flowplot/flowplot.cgi?ARLW1,,,10.6163;R9643cb78944ca241,Stillaguamish River O5 L1 Drainage:1411km2 AvgFlow:3946cfs AvgPrecip:1198mm AvgTemp:11C
NOOA:ASEN6,Esopus Creek AT Ashokan Reservoir East,41.9503,-74.2083,NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=ASEN6,,,213.1753;R7593d8982139ab41, O2 L3 Drainage:46km2 AvgFlow:39cfs AvgPrecip:1313mm AvgTemp:9C
NOOA:ASTO3,Columbia River AT Tongue Pt near Astoria,46.2083,-123.7667,NOOA;NOOANW,http://www.nwrfc.noaa.gov/river/station/flowplot/flowplot.cgi?ASTO3,,,915.4697;Rc9765ad97a90e241,Columbia River O9 L1 Drainage:621730km2 AvgFlow:254291cfs AvgPrecip:1970mm AvgTemp:11C
NOOA:AVOA3,Agua Fria AT Buckeye,33.435,-112.3342,NOOACO,http://www.cbrfc.noaa.gov/station/flowplot/flowplot.cgi?avoa3,,,229.9004;Rbc742f3893c4e341,Agua Fria River O6 L6 Drainage:6303km2 AvgFlow:144cfs AvgPrecip:219mm AvgTemp:22C
NOOA:BARK1,Little Blue River AT Barnes 5N,39.7758,-96.8581,NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=BARK1,,,997.5055;R4c3729d0bb90cb41,Little Blue River O6 L5 Drainage:147970km2 AvgFlow:697cfs AvgPrecip:809mm AvgTemp:12C
NOOA:BATN6,New York Harbor AT The Battery,40.7,-74.0133,NOOA,http://water.weather.gov/ahps2/hydrograph.php?gage=BATN6,,,952.0617;R3333af25391ae841,Hudson River O7 L1 Drainage:34618km2 AvgFlow:22409cfs AvgPrecip:1211mm AvgTemp:12C
NOOA:BBOI1,Bear R Blo Ut P&l @ Oneida AT,42.2667,-111.7511,NOOACO,http://www.cbrfc.noaa.gov/station/flowplot/flowplot.cgi?bboi1,,,224.2922;R7d3f8df664c3de41,Bear River O6 L4 Drainage:11052km2 AvgFlow:1059cfs AvgPrecip:515mm AvgTemp:7C
